,city,id,hotels,score,url,description,address,latitude,longitude
0,Mont Saint Michel,1,Le Mouton Blanc,7.2,https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4Au2w9pEGwAIB0gIkN2Y5OGE1YTYtNzdiYS00ZWExLTg1OWMtZWU5YmUzODY0ODlh2AIE4AIB&sid=e34035080d52b7754f93e2aaf0123b4c&aid=304142&ucfs=1&arphpl=1&checkin=2022-07-15&checkout=2022-07-31&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=483d86be06560197&srepoch=1648667389&all_sr_blocks=19204916_347524665_0_17_0&highlighted_blocks=19204916_347524665_0_17_0&matching_block_id=19204916_347524665_0_17_0&sr_pri_blocks=19204916_347524665_0_17_0__339744&from=searchresults#hotelTmpl,Chambre Double - Annexe,"Grande Rue , 50170 Le Mont-Saint-Michel, France",48.6366347,-1.5107312
1,Mont Saint Michel,1,Les Terrasses Poulard,7.3,https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4Au2w9pEGwAIB0gIkN2Y5OGE1YTYtNzdiYS00ZWExLTg1OWMtZWU5YmUzODY0ODlh2AIE4AIB&sid=e34035080d52b7754f93e2aaf0123b4c&aid=304142&ucfs=1&arphpl=1&checkin=2022-07-15&checkout=2022-07-31&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=483d86be06560197&srepoch=1648667389&all_sr_blocks=102280_347524663_0_1_0&highlighted_blocks=102280_347524663_0_1_0&matching_block_id=102280_347524663_0_1_0&sr_pri_blocks=102280_347524663_0_1_0__302144&from=searchresults#hotelTmpl,Chambre Double ou Lits Jumeaux - Bâtiment Principal,"Grande Rue, 50170 Le Mont-Saint-Michel, France",48.6366347,-1.5107312
2,Mont Saint Michel,1,Auberge Saint Pierre,8.1,https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4Au2w9pEGwAIB0gIkN2Y5OGE1YTYtNzdiYS00ZWExLTg1OWMtZWU5YmUzODY0ODlh2AIE4AIB&sid=e34035080d52b7754f93e2aaf0123b4c&aid=304142&ucfs=1&arphpl=1&checkin=2022-07-15&checkout=2022-07-31&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=483d86be06560197&srepoch=1648667389&all_sr_blocks=5721302_348102591_0_2_0&highlighted_blocks=5721302_348102591_0_2_0&matching_block_id=5721302_348102591_0_2_0&sr_pri_blocks=5721302_348102591_0_2_0__385664&from=searchresults#hotelTmpl,Chambre Lits Jumeaux,"Grande Rue, 50170 Le Mont-Saint-Michel, France",48.6366347,-1.5107312
3,Mont Saint Michel,1,Hotel Gabriel,8.0,https://www.booking.com/hotel/fr/hotel-gabriel.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4Au2w9pEGwAIB0gIkN2Y5OGE1YTYtNzdiYS00ZWExLTg1OWMtZWU5YmUzODY0ODlh2AIE4AIB&sid=e34035080d52b7754f93e2aaf0123b4c&aid=304142&ucfs=1&arphpl=1&checkin=2022-07-15&checkout=2022-07-31&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=483d86be06560197&srepoch=1648667389&all_sr_blocks=17149405_265697856_0_1_0&highlighted_blocks=17149405_265697856_0_1_0&matching_block_id=17149405_265697856_0_1_0&sr_pri_blocks=17149405_265697856_0_1_0__347044&from=searchresults#hotelTmpl,Chambre Quadruple avec Mezzanine,"Route du Mont Saint Michel, 50170 Le Mont-Saint-Michel, France",,
4,Mont Saint Michel,1,Maison de 2 chambres avec piscine partagee jardin clos et wifi a Pontorson,9.2,https://www.booking.com/hotel/fr/maison-de-2-chambres-avec-piscine-partagee-jardin-clos-et-wifi-a-pontorson.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4Au2w9pEGwAIB0gIkN2Y5OGE1YTYtNzdiYS00ZWExLTg1OWMtZWU5YmUzODY0ODlh2AIE4AIB&sid=e34035080d52b7754f93e2aaf0123b4c&aid=304142&ucfs=1&arphpl=1&checkin=2022-07-15&checkout=2022-07-31&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=483d86be06560197&srepoch=1648667389&all_sr_blocks=833579102_348640263_6_0_0&highlighted_blocks=833579102_348640263_6_0_0&matching_block_id=833579102_348640263_6_0_0&sr_pri_blocks=833579102_348640263_6_0_0__1009080&from=searchresults#hotelTmpl,Maison de Vacances 2 Chambres,"7 Boulevard Clemenceau , 50170 Pontorson, France",48.552287,-1.5090957
5,Mont Saint Michel,1,Domaine du Manoir de Vains,8.4,https://www.booking.com/hotel/fr/manoir-de-vains.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4Au2w9pEGwAIB0gIkN2Y5OGE1YTYtNzdiYS00ZWExLTg1OWMtZWU5YmUzODY0ODlh2AIE4AIB&sid=e34035080d52b7754f93e2aaf0123b4c&aid=304142&ucfs=1&arphpl=1&checkin=2022-07-15&checkout=2022-07-31&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=483d86be06560197&srepoch=1648667389&all_sr_blocks=358024501_128363973_0_0_0&highlighted_blocks=358024501_128363973_0_0_0&matching_block_id=358024501_128363973_0_0_0&sr_pri_blocks=358024501_128363973_0_0_0__118574&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Maison 1 Chambre,"Le Manoir, 50300 Vains, France",,
6,Mont Saint Michel,1,Mont gîte en Baie,8.3,https://www.booking.com/hotel/fr/mont-gite-en-baie.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4Au2w9pEGwAIB0gIkN2Y5OGE1YTYtNzdiYS00ZWExLTg1OWMtZWU5YmUzODY0ODlh2AIE4AIB&sid=e34035080d52b7754f93e2aaf0123b4c&aid=304142&ucfs=1&arphpl=1&checkin=2022-07-15&checkout=2022-07-31&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=483d86be06560197&srepoch=1648667389&all_sr_blocks=516072101_183974424_0_0_0&highlighted_blocks=516072101_183974424_0_0_0&matching_block_id=516072101_183974424_0_0_0&sr_pri_blocks=516072101_183974424_0_0_0__230400&from=searchresults#hotelTmpl,Maison 3 Chambres,"16 Route du Bec d'Andaine, 50530 Genêts, France",48.6891755,-1.4867832
7,Mont Saint Michel,1,gites de l'archange,8.0,https://www.booking.com/hotel/fr/gites-de-l-archange.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4Au2w9pEGwAIB0gIkN2Y5OGE1YTYtNzdiYS00ZWExLTg1OWMtZWU5YmUzODY0ODlh2AIE4AIB&sid=e34035080d52b7754f93e2aaf0123b4c&aid=304142&ucfs=1&arphpl=1&checkin=2022-07-15&checkout=2022-07-31&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=483d86be06560197&srepoch=1648667389&all_sr_blocks=279163102_107004477_2_0_0&highlighted_blocks=279163102_107004477_2_0_0&matching_block_id=279163102_107004477_2_0_0&sr_pri_blocks=279163102_107004477_2_0_0__122208&from=searchresults#hotelTmpl,Appartement 1 Chambre,"8 A  route du mont saint michel, 50220 Courtils, France",,
8,Mont Saint Michel,1,Apparthôtel Mont Saint Michel - Résidence Fleurdumont,9.1,https://www.booking.com/hotel/fr/residence-fleurdumont.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4Au2w9pEGwAIB0gIkN2Y5OGE1YTYtNzdiYS00ZWExLTg1OWMtZWU5YmUzODY0ODlh2AIE4AIB&sid=e34035080d52b7754f93e2aaf0123b4c&aid=304142&ucfs=1&arphpl=1&checkin=2022-07-15&checkout=2022-07-31&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=483d86be06560197&srepoch=1648667389&all_sr_blocks=148225608_326151935_0_2_0&highlighted_blocks=148225608_326151935_0_2_0&matching_block_id=148225608_326151935_0_2_0&sr_pri_blocks=148225608_326151935_0_2_0__220444&from=searchresults#hotelTmpl,Appartement avec Terrasse,"5 rue Grandelle, 50170 Beauvoir, France",48.5959637,-1.502054
9,Mont Saint Michel,1,Flor du Mont Gîte,8.4,https://www.booking.com/hotel/fr/flor-du-mont-gite.fr.html?label=gen173nr-1DCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4Au2w9pEGwAIB0gIkN2Y5OGE1YTYtNzdiYS00ZWExLTg1OWMtZWU5YmUzODY0ODlh2AIE4AIB&sid=e34035080d52b7754f93e2aaf0123b4c&aid=304142&ucfs=1&arphpl=1&checkin=2022-07-15&checkout=2022-07-31&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=483d86be06560197&srepoch=1648667389&all_sr_blocks=486432103_295476604_2_0_0&highlighted_blocks=486432103_295476604_2_0_0&matching_block_id=486432103_295476604_2_0_0&sr_pri_blocks=486432103_295476604_2_0_0__99360&from=searchresults#hotelTmpl,Chambre Double,"32 Rue Saint Michel, 50170 Pontorson, France",48.555765,-1.50935
